median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,distance_to_coast,distance_to_los_angeles,distance_to_san_diego,distance_to_san_jose,distance_to_san_francisco
390515.73,9.0851,33.0,1228.9,222.3,577.4,175.0,35.266677,-122.734878,39434.21,432758.13,586664.74,242653.05,279774.87
339627.17,7.3256,28.0,70.6,10.7,53.8,13.0,38.312602,-116.789584,476116.81,491510.05,622770.24,460770.1,496672.48
500001.0,14.2622,41.0,13639.1,3592.7,5696.8,1773.0,33.825192,-118.849982,438234.43,61574.63,199460.01,477765.46,544021.69
154857.67,1.8328,19.0,9383.1,1899.4,3670.5,1299.0,35.275374,-122.230054,84940.09,389497.51,546868.87,231588.69,277908.33
92372.75,2.0254,33.0,5033.2,1036.3,7974.2,1599.0,35.980438,-121.245,153675.64,347769.99,521502.14,161752.96,224762.52
355969.84,8.682,15.0,1957.2,363.4,1131.1,261.0,36.832665,-114.350136,500000.0,468871.0,524326.66,671004.67,721121.09
478714.47,10.6901,45.0,7309.3,1209.7,4976.9,1281.0,39.959172,-115.588865,500000.0,697872.41,817125.11,619656.89,639348.46
197388.84,4.5717,23.0,2570.2,513.4,2385.3,481.0,34.396901,-115.260559,500000.0,276626.33,256398.1,680887.81,744384.1
65237.6,0.5,29.0,7280.4,1433.6,1609.6,935.0,37.385227,-119.669873,252646.65,392668.95,566765.99,196272.35,246093.01
158774.51,2.8688,39.0,2247.4,522.6,1954.2,508.0,38.127938,-117.950024,380838.66,454193.27,605573.24,357354.15,393920.68
268764.17,5.481,14.0,1428.5,236.0,600.9,275.0,32.941279,-120.543939,309615.0,246650.04,317118.72,504178.64,563201.08
158312.19,2.6126,30.0,4972.1,1207.3,4953.3,1269.0,38.271676,-123.684024,123354.94,677408.63,853872.51,188605.26,123982.43
256487.65,5.0082,2.0,14594.0,2350.1,4091.7,1983.0,34.119979,-120.288772,296376.4,188833.64,329450.59,386103.45,448888.13
500001.0,14.0011,13.0,5545.1,1048.9,6511.8,1661.0,33.11799,-118.263202,500000.0,103657.05,112080.37,573395.52,639654.17
435048.69,10.5453,40.0,4881.4,1555.5,3234.9,1586.0,41.514413,-121.484985,15734.52,877441.2,1050012.14,465473.47,423978.83
251022.66,7.2815,28.0,6796.1,1106.1,8257.3,1808.0,41.673504,-115.596519,468565.56,878756.92,1005116.24,723311.03,726914.33
220050.46,4.3117,31.0,7505.0,1283.0,5752.2,1217.0,40.179775,-122.913448,103241.98,797383.59,975603.9,327993.61,271327.29
142534.84,3.3308,12.0,5431.2,1449.4,4662.2,1514.0,35.393831,-120.645145,225012.37,265781.45,437519.63,243415.78,308084.18
296481.98,7.0615,13.0,11899.1,2410.5,3187.2,1565.0,33.427885,-123.188509,49387.87,462725.26,567126.12,450638.57,487789.28
200670.91,4.5505,3.0,11550.9,3519.3,5917.8,1807.0,39.000214,-120.249263,155331.37,578932.49,751639.15,233768.98,233462.23
187603.58,4.6451,29.0,8819.8,2076.6,2550.2,1375.0,36.681449,-124.083556,119106.04,605126.12,770773.57,208073.67,190639.3
108467.3,1.767,51.0,14145.7,3742.3,5710.1,1799.0,33.659363,-121.638231,186070.87,316776.58,429571.49,409901.71,462493.27
154414.01,2.9191,30.0,82.2,14.1,77.2,25.0,37.204181,-120.29228,203030.38,396728.75,574443.52,142177.57,197989.74
326300.91,7.0365,12.0,4967.7,1438.1,1838.0,793.0,32.826691,-119.479264,412529.48,178114.14,217158.87,547644.93,610938.82
62822.66,2.3149,21.0,8477.5,2876.8,4329.0,1131.0,41.138544,-118.791188,218792.64,789699.4,947207.4,499540.62,487104.03
253345.03,5.2563,2.0,5645.9,1931.6,1398.7,928.0,34.95841,-121.612593,150093.35,325112.02,480613.95,265989.09,320880.56
219694.39,5.7402,50.0,8206.0,2296.6,6786.7,1548.0,38.793962,-119.008066,268516.95,531955.47,695627.94,299624.46,318807.06
286344.35,5.9449,16.0,4283.3,713.2,2827.3,1375.0,35.461255,-119.155451,357679.05,177816.72,355893.88,321748.09,388278.53
333681.65,6.2724,32.0,3104.1,998.7,1693.6,805.0,37.440646,-121.18013,117892.26,460971.19,639646.71,63704.89,115198.05
350402.71,6.5315,28.0,7026.2,2449.8,3501.9,924.0,37.693748,-115.782897,500000.0,461661.03,567009.44,539965.39,583620.65
172652.29,3.0824,9.0,12999.8,2300.0,6727.4,1647.0,34.256117,-118.770768,431420.4,53950.57,226904.29,443478.51,510194.8
162121.86,1.8578,17.0,8754.7,2764.9,5114.6,1603.0,41.711054,-121.011168,18686.83,885766.71,1056007.0,491840.58,454460.04
50251.7,2.6535,50.0,12992.0,2353.0,5913.4,1734.0,39.863762,-114.552946,500000.0,724554.28,827887.96,696315.46,719945.95
288444.23,6.9445,19.0,3380.7,809.6,1074.2,627.0,41.42524,-115.62632,474087.01,851564.95,977445.41,704036.47,709581.19
93299.19,2.1804,7.0,6502.3,2178.0,6752.3,1713.0,41.00086,-114.182828,500000.0,851429.91,957953.78,778732.91,793387.91
130565.69,2.4004,36.0,2076.9,698.7,2260.2,606.0,38.18005,-117.231544,441892.77,468079.66,607164.36,419985.81,457000.43
107923.44,2.3924,40.0,7178.4,1870.2,2041.3,1002.0,41.257805,-120.528659,70426.86,826317.04,995161.1,451096.42,420365.62
109563.49,1.4806,1.0,3045.1,1027.0,704.0,396.0,33.340679,-121.550963,203715.27,316285.28,415085.96,445765.18,498745.06
79994.66,2.252,42.0,7966.9,1255.2,3799.8,1578.0,34.361837,-117.535163,500000.0,73509.06,185845.01,513421.82,579835.52
300482.67,8.1681,36.0,3318.2,953.1,1561.8,913.0,32.929659,-114.201426,500000.0,394656.32,277422.94,853512.6,918761.72
50499.73,2.9152,49.0,10533.2,2482.2,3646.8,1456.0,35.590638,-117.919492,465162.82,173791.23,326757.39,404800.51,468739.63
114827.62,1.5693,39.0,6879.5,1793.9,4867.5,1459.0,36.192434,-115.243043,500000.0,361969.92,424209.94,605539.69,660997.36
190572.08,3.297,1.0,6811.5,1285.4,4399.6,1253.0,35.077816,-121.044414,198233.32,281064.32,444080.88,262731.24,323659.0
234181.09,6.0881,48.0,10491.2,1997.1,6309.8,1317.0,40.373006,-120.226985,119330.24,724710.57,893823.54,366690.61,345827.98
62240.79,1.4941,24.0,5968.3,1765.9,2596.4,934.0,35.889157,-114.98411,500000.0,360293.94,405093.15,636959.02,693839.19
361529.1,7.9406,10.0,5267.0,1599.1,1217.8,797.0,35.168878,-116.5529,500000.0,198282.14,277999.82,535888.67,598906.17
98549.43,1.8878,11.0,5534.6,1539.0,1971.8,1256.0,37.655613,-114.195192,500000.0,541758.01,611288.18,679547.03,723372.74
153441.66,3.535,38.0,7391.6,1619.7,5497.9,1725.0,33.83878,-116.364976,500000.0,174546.49,144698.16,633170.14,699184.73
118853.61,3.508,22.0,1546.2,450.3,859.2,346.0,40.120871,-119.790585,163237.7,688884.88,855817.99,358830.85,346433.36
221664.67,3.2,31.0,6655.2,1687.7,2325.3,1111.0,33.208231,-118.923786,451706.23,112999.24,173271.7,532447.58,597788.51
226405.43,4.3108,1.0,1329.9,386.0,607.9,173.0,41.875426,-115.044587,500000.0,913935.85,1034991.25,772994.38,777418.17
320759.84,7.1502,41.0,1503.8,290.3,435.6,234.0,39.836325,-118.707709,263493.06,644748.16,803328.88,391802.51,395255.91
204509.94,4.3733,11.0,5812.1,1443.6,4754.4,1310.0,34.387799,-121.818328,147966.01,331134.05,469753.4,328333.27,379947.86
182856.61,3.1161,6.0,285.6,50.0,214.2,46.0,32.55246,-119.925992,379699.06,228640.45,259665.05,561599.8,622816.88
313662.81,5.8968,51.0,3705.8,1269.1,1821.4,1003.0,40.246884,-119.078682,220046.28,693049.15,854283.19,404721.83,398944.67
226679.02,5.0752,45.0,7162.9,2497.9,6850.8,1395.0,39.215145,-123.484442,128913.16,740547.46,918998.99,250679.78,185479.97
91785.55,2.9991,17.0,5917.4,1395.6,2778.6,795.0,39.425568,-116.690492,448588.11,613445.5,746814.7,508976.24,530734.47
242494.45,4.5969,14.0,1978.0,453.5,1062.5,466.0,39.827068,-123.351784,132122.97,786469.04,965134.82,304328.81,242565.81
181541.57,2.8536,32.0,9050.6,2132.1,4511.9,1563.0,33.203424,-120.248364,328841.85,208413.84,293092.41,483481.73,544469.61
97888.98,2.6659,20.0,4163.4,779.8,3866.3,1230.0,35.905424,-116.051464,500000.0,286905.69,368536.36,544807.88,603328.69
378622.75,7.268,4.0,292.2,56.0,152.4,85.0,33.600756,-119.590511,377141.83,134380.05,246524.5,464972.98,529292.82
161581.96,5.8602,39.0,2575.4,888.5,3021.3,770.0,40.699483,-115.658837,494933.89,773662.6,897268.89,654955.65,666953.39
253843.74,7.1152,47.0,6709.9,1461.5,7723.3,1657.0,38.421332,-120.910246,114214.93,541796.99,718820.03,147819.6,150662.21
248592.36,6.5606,22.0,7099.5,2300.7,6105.1,1345.0,35.643531,-114.444819,500000.0,388985.81,409906.16,691552.1,748942.99
194297.34,2.6318,29.0,15110.7,2289.7,6017.6,1995.0,33.103804,-122.300581,141173.6,390581.5,481712.37,472516.01,518969.91
378369.12,8.1725,42.0,2479.8,667.7,816.1,523.0,35.454332,-124.098226,89019.05,557421.58,707353.11,288125.64,297875.54
174052.09,3.7488,37.0,11219.6,2194.0,8981.7,1822.0,35.589242,-115.339521,500000.0,315251.85,360327.8,617118.28,676149.18
349330.09,7.8266,13.0,1624.1,428.8,504.4,281.0,39.431259,-116.601871,456002.98,615880.81,747936.8,516128.65,538157.81
205651.32,4.1576,15.0,2552.7,725.0,2856.5,685.0,38.556796,-122.06417,10311.22,606956.05,785602.29,136160.62,92853.88
318226.91,5.4081,35.0,580.5,181.5,278.6,108.0,40.928521,-114.160213,500000.0,845058.77,950823.41,776533.55,791858.36
233794.88,5.5065,25.0,4132.7,822.6,5150.7,1117.0,36.986042,-119.226059,303954.4,338444.24,510411.39,239311.0,295356.75
278419.19,7.3003,51.0,1359.2,377.5,1395.0,299.0,33.636145,-114.513813,500000.0,347173.87,266499.57,784232.19,848587.72
125917.42,1.6808,3.0,374.9,56.5,301.7,107.0,39.275825,-119.197198,238019.48,587312.6,751595.09,318621.98,326527.07
42735.4,1.7405,51.0,6389.5,2235.4,4231.3,1565.0,39.727458,-119.545317,195192.42,641865.81,807944.57,334737.63,330908.75
257135.6,6.7062,12.0,7877.2,1840.7,7561.1,1621.0,37.832133,-119.784045,229369.79,442910.03,616255.76,193461.69,231690.2
238223.22,5.5501,14.0,7775.7,1475.0,4871.9,1270.0,39.824188,-120.98381,69813.68,686710.3,860882.51,287235.34,260114.23
67687.94,2.814,40.0,1401.8,391.0,596.8,380.0,37.191058,-118.896134,326868.37,354266.13,521698.66,265442.48,317518.02
213478.45,5.5766,32.0,7073.0,1816.5,2211.4,1184.0,37.465962,-119.748176,243341.8,403462.92,577809.13,189703.82,237734.42
96614.84,1.9256,50.0,5569.4,838.9,2546.2,1322.0,36.56164,-124.114158,118815.09,601611.6,765953.42,215754.33,201461.13
500001.0,15.0,4.0,2185.3,503.4,3274.6,656.0,32.741482,-121.76543,201865.24,358140.65,430762.26,511457.49,562290.64
428771.53,9.8448,29.0,8226.7,2596.3,2803.6,1084.0,33.524969,-122.262211,132352.16,376242.02,483452.1,425549.19,472240.99
260605.35,6.5103,31.0,2257.5,455.7,1475.8,694.0,32.798577,-115.391926,500000.0,298688.77,165560.5,777276.83,843636.16
190918.74,4.6897,32.0,3323.9,1136.8,2260.0,461.0,38.545899,-118.211865,345031.02,499927.5,654733.05,349266.59,377874.44
155000.65,3.0918,24.0,7130.9,2302.7,2964.5,1081.0,35.486382,-116.481327,500000.0,226521.29,313887.37,525945.05,587481.21
56247.21,2.0419,11.0,2828.1,634.0,1423.2,635.0,37.331422,-114.453327,500000.0,499986.35,568847.96,657311.53,703793.9
213994.88,4.1858,30.0,9330.3,2148.0,5762.1,1416.0,41.121882,-117.737588,307365.81,787598.12,935649.68,551903.7,548083.9
130153.86,2.6755,49.0,4797.2,1153.7,4675.5,1112.0,34.868276,-114.182595,500000.0,382931.61,364328.86,744684.11,805070.77
131043.19,2.7708,19.0,9506.7,2637.4,6194.6,1364.0,36.398638,-121.226477,143302.88,376514.0,553038.91,120168.58,185634.23
129634.04,1.9154,36.0,2718.0,585.9,1479.1,776.0,39.677736,-122.544195,59589.36,733400.65,911681.86,266101.31,212403.9
238694.51,5.2059,6.0,1055.8,158.6,774.5,334.0,34.673583,-120.265246,281408.87,198403.67,360124.68,330539.45,394820.32
151518.29,3.5744,2.0,4521.8,1073.1,5487.3,1225.0,33.231309,-119.556606,392188.42,152123.94,230669.37,503520.22,567271.2
259572.05,6.1783,39.0,11824.2,2943.7,7295.1,1793.0,35.252639,-115.098704,500000.0,316912.57,339723.5,651187.65,711404.32
276877.51,5.8959,19.0,6199.8,1809.5,3111.1,791.0,34.031602,-118.620625,452575.73,35130.6,199156.63,471647.61,538320.43
323863.51,5.1432,46.0,11151.0,1713.1,6548.4,1780.0,41.332128,-121.4321,6812.78,856888.69,1029620.39,445645.61,405036.7
500001.0,15.0,48.0,7051.7,1949.1,4393.3,955.0,40.177144,-116.70234,423584.64,694781.54,830202.58,549257.45,561928.26
298242.23,7.3465,40.0,4365.2,721.3,3813.7,1393.0,38.517336,-119.188765,261069.88,503962.36,670155.74,270665.7,294520.88
166041.82,2.1036,18.0,4618.2,1178.0,3896.1,914.0,40.778876,-122.797615,107695.44,849296.56,1026700.71,390325.85,336145.85
216845.9,5.9017,41.0,311.5,59.3,144.3,53.0,40.134885,-118.443392,277173.75,676848.15,832425.3,431143.54,432812.3
173532.81,4.3388,36.0,8891.6,2897.7,7561.2,1769.0,34.272416,-114.930357,500000.0,305507.3,269324.81,714032.31,777412.95
142908.62,2.0039,46.0,10292.4,2422.8,3126.7,1566.0,40.97931,-115.652463,486348.29,803480.99,928092.6,672740.97,682131.9
86511.83,1.9098,50.0,928.4,162.4,838.0,226.0,37.623751,-118.338495,362599.21,397482.11,555678.43,314943.63,359445.48
267579.17,5.8821,20.0,7491.8,1165.0,4168.6,1737.0,40.170681,-120.540627,98233.58,710430.03,881740.32,335789.58,312480.64
299103.74,6.8109,37.0,6028.4,1931.5,2549.8,1089.0,41.012867,-123.586723,179287.57,906040.02,1084214.17,433776.58,374258.77
154074.02,2.3923,1.0,6239.8,2106.1,1573.6,987.0,35.521033,-119.568686,318459.96,203658.85,382290.19,289873.86,356681.07
352434.05,8.0213,23.0,3812.9,1125.8,4844.2,1044.0,33.545493,-116.603166,500000.0,161315.34,105422.08,638072.71,704590.6
241956.05,5.3172,38.0,1647.5,465.9,1453.3,366.0,34.665384,-120.717126,240406.39,237452.2,393778.02,315555.44,377487.14
379007.76,9.1845,20.0,2149.4,429.3,2212.6,488.0,36.557524,-122.027808,67311.3,442527.74,616594.7,87864.92,139227.89
410614.04,8.6173,4.0,4895.5,1444.6,3859.1,903.0,40.27114,-114.720513,500000.0,758637.51,867397.02,701236.42,720629.01
212864.54,4.0753,51.0,4520.8,816.9,1665.0,578.0,40.676941,-115.873665,477585.96,765894.89,892141.31,638423.45,649716.83
444257.32,11.9575,49.0,8760.7,2742.7,7112.8,1768.0,32.566045,-117.798106,500000.0,170040.63,62150.79,648572.85,714848.11
89767.44,2.2831,38.0,831.5,197.4,208.5,114.0,37.352099,-123.063775,45830.38,569539.95,744135.53,103767.91,73343.69
500001.0,15.0,5.0,8800.9,2859.8,7004.3,1759.0,36.465405,-122.978457,15004.03,507089.27,675861.11,137200.8,153281.66
123588.43,2.6452,6.0,7508.7,1641.5,7710.0,1626.0,34.610024,-123.416194,4494.91,479310.98,615811.85,333167.24,362560.55
217039.14,4.3545,26.0,2178.6,331.7,3015.4,630.0,33.638721,-118.028885,500000.0,49714.83,130286.72,539874.73,606658.98
169113.29,3.1889,1.0,5659.5,1768.1,2054.9,864.0,35.707344,-123.286591,22424.53,495787.27,653790.52,220292.56,242003.79
139101.18,3.5749,50.0,2483.7,810.4,1889.3,559.0,41.457642,-115.652414,470870.92,854409.47,980692.58,704563.43,709711.87
500001.0,15.0,15.0,4169.5,641.2,1299.7,641.0,35.570428,-114.073867,500000.0,416183.92,425527.44,725957.54,783186.96
183423.33,3.3952,16.0,8211.6,1653.1,6391.3,1701.0,37.428511,-120.653344,164666.64,434208.44,612396.42,109704.35,160203.65
333694.55,7.4683,23.0,49.3,10.5,40.6,16.0,39.17868,-119.736467,194455.48,585687.76,754592.88,277750.49,281242.23
131223.04,3.8914,41.0,3558.9,959.6,3003.3,939.0,35.954481,-117.027495,500000.0,238829.94,359863.49,460280.83,520379.66
275975.83,7.8611,22.0,4483.7,884.3,1098.9,651.0,41.73193,-114.659893,500000.0,909897.68,1026102.55,788764.65,795853.25
185240.46,3.2333,5.0,216.4,72.6,140.3,53.0,41.643249,-115.112015,500000.0,887700.46,1008581.24,752733.61,758712.62
291087.81,5.2262,43.0,5093.0,1745.2,5990.8,1227.0,34.891932,-123.895286,55798.82,526730.88,667340.39,326391.74,346225.5
329388.81,6.5353,5.0,3131.4,836.3,2665.8,671.0,37.223861,-122.724746,12542.48,537285.64,712394.0,74973.53,66412.79
165642.19,2.9064,6.0,7795.4,2706.1,4593.1,1987.0,35.358344,-116.576729,500000.0,210427.36,298250.59,524280.71,586571.42
500001.0,15.0,2.0,1463.0,269.4,416.3,257.0,35.205985,-117.266622,500000.0,156376.9,276603.66,477500.26,541654.98
332533.99,6.7434,10.0,10751.1,1860.7,7403.9,1930.0,32.850426,-123.101205,74009.44,470262.34,555513.45,511219.88,550507.44
183943.94,3.9134,36.0,10118.0,2338.8,7763.2,1643.0,38.290861,-119.228322,264362.14,479824.93,647071.56,256590.47,285468.21
132757.18,2.9496,46.0,360.4,111.4,163.2,46.0,37.275451,-116.301446,500000.0,399101.8,512536.52,494251.44,542290.92
172983.66,4.7352,35.0,4842.3,1297.0,4053.7,1346.0,32.989048,-122.202803,153666.52,385808.4,471948.5,484637.64,531981.62
102214.26,2.1606,45.0,3248.7,896.6,2898.6,660.0,35.147141,-115.35148,500000.0,291158.96,317279.32,634861.94,695928.94
500001.0,13.0577,23.0,3199.6,1093.5,1911.3,582.0,41.128526,-123.943796,211728.1,933340.77,1111722.9,456856.95,395688.08
159652.55,5.8052,47.0,4985.5,1344.1,3057.5,663.0,34.775838,-116.286952,500000.0,196496.38,242428.14,578619.05,642534.28
224625.19,4.2512,16.0,3654.5,865.1,2269.7,593.0,33.876501,-118.033902,500000.0,27082.59,152096.44,519360.66,586203.62
333163.43,8.3946,37.0,8308.0,2550.3,2714.2,1626.0,37.149801,-121.190407,125159.4,435791.68,614351.75,65437.81,128584.47
106468.18,2.9069,42.0,280.2,84.9,315.8,86.0,41.863679,-116.930208,352212.14,876364.44,1016932.76,658218.86,653214.2
104546.51,2.2399,35.0,12064.0,4094.5,5196.0,1777.0,34.799525,-116.285159,500000.0,197718.71,244964.24,577401.7,641241.69
227736.78,4.1451,48.0,5140.3,1402.5,2914.2,888.0,38.885288,-114.694061,500000.0,624060.92,720630.13,652381.75,685024.72
231445.64,4.8381,40.0,8270.3,1265.1,4783.1,1296.0,39.735386,-120.638366,101664.77,667118.43,839961.46,287733.88,267622.07
243836.43,6.1617,16.0,2752.2,596.6,2606.0,600.0,34.757557,-117.296824,500000.0,116950.22,226918.85,502862.51,568338.82
168139.23,1.8482,5.0,6247.7,1463.8,3263.2,1458.0,39.418055,-118.172529,321743.24,596930.74,750312.82,397932.75,412062.76
159644.68,3.4083,11.0,10210.9,3013.8,4674.5,1655.0,35.99394,-118.985336,356220.95,226558.81,400731.37,299178.03,363721.13
15000.0,0.7046,51.0,9293.1,2499.3,3550.6,1816.0,38.506905,-115.150627,500000.0,567615.93,668566.35,605057.46,640843.27
118898.43,2.2047,29.0,8463.2,2345.0,5824.3,1780.0,38.518532,-124.466743,197343.03,746905.82,922382.53,261228.83,197387.52
337892.57,6.8837,48.0,3040.5,617.2,2700.6,749.0,37.589859,-121.537828,82257.81,493219.27,671839.01,41689.23,80176.62
331181.73,7.9774,46.0,6236.5,1969.8,2101.8,1239.0,33.357753,-118.848089,453792.37,95337.06,172593.06,521639.71,587327.5
67933.68,2.2587,11.0,790.0,169.1,314.0,103.0,40.435374,-122.627921,85207.23,809039.46,986603.1,350061.23,296918.29
85900.07,3.6886,46.0,2522.0,739.4,1648.5,711.0,35.547411,-114.967401,500000.0,342046.08,373560.76,650325.48,708972.95
188942.08,4.5511,16.0,4647.5,940.9,4144.9,1219.0,34.271926,-117.700251,500000.0,55455.12,179689.8,508951.76,575578.07
485532.98,8.558,25.0,6937.3,1918.3,4231.2,1151.0,32.887364,-119.482229,410274.46,173173.09,217834.02,541328.63,604715.68
470453.68,11.2173,50.0,235.4,59.2,208.8,56.0,38.113483,-115.945632,500000.0,496610.36,609721.96,529726.92,568919.46
289964.58,4.9128,3.0,13516.4,2376.1,2858.1,1837.0,38.936861,-119.765695,198862.6,560221.45,730010.29,256976.67,265322.42
141128.43,3.8329,3.0,8413.1,1773.9,3230.0,1160.0,32.657584,-118.634143,497032.4,159098.05,138128.81,599091.2,664261.63
101691.41,1.8847,1.0,5665.3,1463.2,3566.8,1111.0,37.364884,-124.471115,170318.31,672360.13,842004.67,228156.72,186302.75
180263.26,4.7819,12.0,3360.9,799.3,2108.0,525.0,34.65171,-120.660144,246023.69,232023.21,388564.1,318733.99,380972.06
500001.0,15.0,7.0,2325.8,536.7,595.3,338.0,38.629142,-123.0427,76433.0,666345.61,844614.32,175364.15,109941.35
448231.3,9.7193,43.0,1684.3,496.4,1714.2,362.0,34.156481,-117.258269,500000.0,91162.31,159989.43,547611.31,614025.08
138859.4,4.9774,45.0,7360.0,2158.8,2760.0,1603.0,39.063909,-119.470217,220686.81,568228.2,735389.06,285378.61,294501.96
182625.64,5.3764,46.0,5400.4,1882.6,3223.7,1792.0,36.173986,-121.331546,140340.45,367190.8,541939.75,138871.62,202097.28
89097.74,2.965,32.0,822.4,143.5,483.5,197.0,41.398935,-119.58776,145091.91,825684.14,988682.73,492763.6,470820.74
203560.2,3.6173,22.0,4619.2,922.3,2116.9,721.0,33.806449,-122.298886,120748.64,375436.32,492770.16,394648.03,440862.0
193877.88,4.8967,12.0,3128.3,649.7,1015.8,600.0,35.74013,-114.78659,500000.0,366729.52,400448.53,658879.92,716273.57
276416.97,4.9056,6.0,1470.7,311.5,435.4,239.0,33.577998,-123.933287,23737.85,528522.69,637634.71,457388.54,485736.67
318476.89,8.219,38.0,8084.8,1748.3,8532.5,1958.0,41.284589,-115.413121,496414.91,841911.92,964827.08,708785.27,716486.61
351112.44,7.9825,39.0,1995.4,525.4,805.1,330.0,40.834724,-119.130733,198941.91,758501.08,919153.29,455701.14,442908.05
322534.35,6.1248,38.0,2090.4,333.4,2363.3,495.0,34.950445,-118.001062,478905.72,102491.05,259892.1,438721.84,504738.89
95464.03,2.4609,41.0,9175.3,2230.9,4646.0,1405.0,38.769848,-121.322641,68923.32,592806.18,770269.92,166570.67,146755.5
122773.34,2.5172,21.0,6430.3,1875.6,7937.1,1700.0,40.263611,-114.349675,500000.0,771946.23,875484.86,729466.99,749975.95
132189.66,2.6307,28.0,386.9,114.2,366.0,87.0,37.774408,-121.540565,76955.76,509680.01,688354.45,57289.15,77298.58
244202.68,5.1619,32.0,6003.7,1564.3,3172.3,1489.0,37.53168,-118.316781,367390.6,387207.1,545264.53,316188.72,362181.87
58729.92,1.3287,27.0,1650.8,551.7,2246.6,528.0,34.797597,-114.069125,500000.0,391457.24,367408.05,757343.85,817830.55
245433.23,4.4648,49.0,12346.1,2324.3,5018.0,1633.0,33.384476,-115.248509,500000.0,286397.26,192861.96,745429.9,811016.13
420323.39,10.4352,49.0,6353.8,2205.9,5171.3,1881.0,41.02355,-118.868537,215587.38,777394.52,935678.85,485295.27,473206.77
221344.57,6.6865,15.0,1025.4,188.3,588.5,202.0,41.053972,-114.101068,500000.0,859759.79,965617.62,787596.38,802069.57
233706.92,3.6312,33.0,3602.3,787.9,1303.1,755.0,38.514464,-117.135616,439475.28,506186.57,644318.74,436913.65,469417.95
136670.7,2.9478,32.0,3337.0,535.0,4215.5,853.0,35.720783,-122.308646,65346.15,414966.52,579022.13,183892.6,228078.38
313330.28,7.2676,46.0,4271.3,1462.6,2242.8,818.0,35.817491,-120.24124,248738.98,268141.85,445808.36,224347.75,291141.85
286759.19,5.3851,34.0,8935.4,2378.6,6311.6,1619.0,39.396579,-120.98782,80906.01,642885.9,818044.02,241825.11,219560.16
217150.38,3.8657,7.0,7983.6,2275.6,8921.7,1843.0,41.022547,-120.887856,46509.77,809584.81,980679.92,418482.61,384865.45
169559.59,3.1474,13.0,2410.0,824.4,1290.9,428.0,40.927321,-116.515207,415685.3,779668.14,914407.08,611351.66,617060.78
190267.04,4.6919,39.0,9011.9,2714.9,5230.8,1451.0,39.908818,-118.365239,290522.43,651565.56,806596.29,418678.78,424062.94
